Filename,Meter_Reading
id_100_value_51_256.jpg,2
id_10_value_150_954.jpg,252822232016
id_11_value_431_932.jpg,3229663231000016
id_12_value_414_676.jpg,08326803000154
id_13_value_21_789.jpg,4358609982018819
id_14_value_14_954.jpg,506803023
id_15_value_1271_072.jpg,228340001
id_16_value_106_749.jpg,964810200807014173
id_17_value_59_034.jpg,16
id_18_value_137_994.jpg,00160018898
id_19_value_198_521.jpg,95214914
id_1_value_13_116.jpg,
id_20_value_191_506.jpg,15038101010
id_21_value_447_676.jpg,3
id_22_value_241_801.jpg,14078371738
id_23_value_203_248.jpg,1015035708004
id_24_value_127_663.jpg,3224025590121
id_25_value_328_484.jpg,
id_26_value_252_131.jpg,5909
id_27_value_140_738.jpg,0307300512017
id_28_value_81_998.jpg,
id_29_value_127_491.jpg,
id_2_value_495_341.jpg,03
id_30_value_259_681.jpg,1148739601215
id_31_value_385_93.jpg,
id_32_value_174_115.jpg,967
id_33_value_169_387.jpg,10027068
id_34_value_635_498.jpg,0001
id_35_value_469_334.jpg,3006301722009
id_36_value_500_582.jpg,2008558311432569
id_37_value_140_301.jpg,
id_38_value_299_131.jpg,16407451
id_39_value_205_803.jpg,1001
id_3_value_366_885.jpg,270620270251616
id_40_value_158_359.jpg,3404624354980
id_41_value_374_91.jpg,201212099272
id_42_value_211_427.jpg,048
id_43_value_123_689.jpg,5
id_44_value_244_743.jpg,5
id_45_value_215_0.jpg,250014001150
id_46_value_647_254.jpg,
id_47_value_301_107.jpg,05
id_48_value_88_795.jpg,217858315
id_49_value_7_086.jpg,00013839182019
id_4_value_352_676.jpg,13542575962
id_50_value_37_106.jpg,1862103203
id_51_value_93_534.jpg,0200913
id_52_value_47_261.jpg,
id_53_value_595_825.jpg,1011050799201
id_54_value_47_734.jpg,976541706912122
id_55_value_51_278.jpg,3535129
id_56_value_105_638.jpg,62282683542016401518509009
id_57_value_787_236.jpg,95000129102972013
id_58_value_336_0.jpg,
id_59_value_58_235.jpg,15264835205182358001
id_5_value_100_533.jpg,00003284
id_60_value_258_756.jpg,0582179850307012
id_61_value_19_151.jpg,190054540845
id_62_value_367_401.jpg,33301598016
id_63_value_468_808.jpg,54162217
id_64_value_57_509.jpg,310090100473345
id_65_value_210_959.jpg,2288068
id_66_value_523_223.jpg,382308167155
id_67_value_20_205.jpg,
id_68_value_150_454.jpg,90
id_69_value_703_334.jpg,
id_6_value_345_442.jpg,
id_70_value_37_723.jpg,1590166
id_71_value_90_216.jpg,1603573080
id_72_value_132_107.jpg,22822967
id_73_value_234_619.jpg,95245
id_74_value_183_642.jpg,806003000303818811
id_75_value_245_437.jpg,2014
id_76_value_916_447.jpg,6
id_77_value_665_0.jpg,302715
id_78_value_195_502.jpg,10380001
id_79_value_101_981.jpg,22399186
id_7_value_405_178.jpg,
id_80_value_0_112.jpg,20017610058166
id_81_value_259_059.jpg,
id_82_value_1100_014.jpg,31
id_83_value_1336_114.jpg,3553002002
id_84_value_267_619.jpg,834
id_85_value_78_069.jpg,11506042008
id_86_value_240_729.jpg,15038146201101712
id_87_value_374_66.jpg,3
id_88_value_168_625.jpg,101115083580916162836
id_89_value_514_352.jpg,10509654010454014233
id_8_value_1095_124.jpg,24921217638
id_90_value_729_0.jpg,
id_91_value_40_736.jpg,4358414236458
id_92_value_116_405.jpg,
id_93_value_105_535.jpg,3752012
id_94_value_93_518.jpg,9982310120976298052
id_95_value_45_298.jpg,0002017
id_96_value_353_0.jpg,50001
id_97_value_368_218.jpg,15
id_98_value_304_465.jpg,64216
id_99_value_200_319.jpg,534053822
id_9_value_18_724.jpg,
